ID,timepoint,subject,BOLD signal,ROI
,0,0,0.513433103,IPS
,0,1,-0.414368046,IPS
,0,2,0.214695327,IPS
,0,3,0.814808746,IPS
,0,4,-0.89499223,IPS
,0,5,-0.073709349,IPS
,0,6,3.542734475,IPS
,0,7,0.080169076,IPS
,0,8,1.547082695,IPS
,0,9,2.827153,IPS
,0,10,2.611358359,IPS
,0,11,-0.313132135,IPS
,0,12,3.773420956,IPS
,0,13,4.82991474,IPS
,0,14,2.891339576,IPS
,0,15,-0.736697602,IPS
,0,16,3.31698614,IPS
,0,17,3.771425531,IPS
,0,18,1.308108715,IPS
,0,19,-0.905171638,IPS
,0,0,1.048369065,AG
,0,1,0.980156109,AG
,0,2,2.817243818,AG
,0,3,0.737112887,AG
,0,4,2.203094497,AG
,0,5,0.41213139,AG
,0,6,1.899258728,AG
,0,7,0.905484797,AG
,0,8,-0.355029503,AG
,0,9,-1.695758671,AG
,0,10,-1.084440968,AG
,0,11,0.935800472,AG
,0,12,0.085615208,AG
,0,13,-1.074552643,AG
,0,14,1.428816978,AG
,0,15,0.544583077,AG
,0,16,2.72219978,AG
,0,17,-0.470977872,AG
,0,18,0.915208992,AG
,0,19,1.391679016,AG
,0,0,1.82020122,V1
,0,1,0.257198996,V1
,0,2,1.946045585,V1
,0,3,3.507984359,V1
,0,4,2.486441674,V1
,0,5,-1.534044638,V1
,0,6,0.856975473,V1
,0,7,-1.048671305,V1
,0,8,2.484772463,V1
,0,9,-0.673605479,V1
,0,10,-0.340822399,V1
,0,11,2.908160595,V1
,0,12,2.992470042,V1
,0,13,-0.324952711,V1
,0,14,2.360439848,V1
,0,15,0.699200393,V1
,0,16,1.458005388,V1
,0,17,1.993810665,V1
,0,18,1.201364158,V1
,0,19,0.582377065,V1
,0.101010101,0,0.467319242,IPS
,0.101010101,1,-0.460481907,IPS
,0.101010101,2,0.168581466,IPS
,0.101010101,3,0.768694885,IPS
,0.101010101,4,-0.941106091,IPS
,0.101010101,5,-0.11982321,IPS
,0.101010101,6,3.496620614,IPS
,0.101010101,7,0.034055215,IPS
,0.101010101,8,1.500968834,IPS
,0.101010101,9,2.781039139,IPS
,0.101010101,10,2.565244498,IPS
,0.101010101,11,-0.359245996,IPS
,0.101010101,12,3.727307095,IPS
,0.101010101,13,4.783800879,IPS
,0.101010101,14,2.845225715,IPS
,0.101010101,15,-0.782811463,IPS
,0.101010101,16,3.270872279,IPS
,0.101010101,17,3.72531167,IPS
,0.101010101,18,1.261994854,IPS
,0.101010101,19,-0.951285499,IPS
,0.101010101,0,1.048408274,AG
,0.101010101,1,0.980195317,AG
,0.101010101,2,2.817283026,AG
,0.101010101,3,0.737152096,AG
,0.101010101,4,2.203133706,AG
,0.101010101,5,0.412170598,AG
,0.101010101,6,1.899297937,AG
,0.101010101,7,0.905524005,AG
,0.101010101,8,-0.354990294,AG
,0.101010101,9,-1.695719463,AG
,0.101010101,10,-1.084401759,AG
,0.101010101,11,0.93583968,AG
,0.101010101,12,0.085654417,AG
,0.101010101,13,-1.074513435,AG
,0.101010101,14,1.428856187,AG
,0.101010101,15,0.544622285,AG
,0.101010101,16,2.722238988,AG
,0.101010101,17,-0.470938664,AG
,0.101010101,18,0.915248201,AG
,0.101010101,19,1.391718225,AG
,0.101010101,0,1.820201206,V1
,0.101010101,1,0.257198983,V1
,0.101010101,2,1.946045572,V1
,0.101010101,3,3.507984346,V1
,0.101010101,4,2.486441661,V1
,0.101010101,5,-1.534044652,V1
,0.101010101,6,0.856975459,V1
,0.101010101,7,-1.048671318,V1
,0.101010101,8,2.484772449,V1
,0.101010101,9,-0.673605492,V1
,0.101010101,10,-0.340822413,V1
,0.101010101,11,2.908160582,V1
,0.101010101,12,2.992470028,V1
,0.101010101,13,-0.324952724,V1
,0.101010101,14,2.360439835,V1
,0.101010101,15,0.69920038,V1
,0.101010101,16,1.458005375,V1
,0.101010101,17,1.993810651,V1
,0.101010101,18,1.201364145,V1
,0.101010101,19,0.582377052,V1
,0.202020202,0,0.346699418,IPS
,0.202020202,1,-0.581101731,IPS
,0.202020202,2,0.047961642,IPS
,0.202020202,3,0.648075061,IPS
,0.202020202,4,-1.061725915,IPS
,0.202020202,5,-0.240443034,IPS
,0.202020202,6,3.376000791,IPS
,0.202020202,7,-0.086564609,IPS
,0.202020202,8,1.38034901,IPS
,0.202020202,9,2.660419316,IPS
,0.202020202,10,2.444624675,IPS
,0.202020202,11,-0.47986582,IPS
,0.202020202,12,3.606687271,IPS
,0.202020202,13,4.663181056,IPS
,0.202020202,14,2.724605891,IPS
,0.202020202,15,-0.903431287,IPS
,0.202020202,16,3.150252455,IPS
,0.202020202,17,3.604691846,IPS
,0.202020202,18,1.141375031,IPS
,0.202020202,19,-1.071905322,IPS
,0.202020202,0,1.048936129,AG
,0.202020202,1,0.980723173,AG
,0.202020202,2,2.817810881,AG
,0.202020202,3,0.737679951,AG
,0.202020202,4,2.203661561,AG
,0.202020202,5,0.412698453,AG
,0.202020202,6,1.899825792,AG
,0.202020202,7,0.90605186,AG
,0.202020202,8,-0.354462439,AG
,0.202020202,9,-1.695191608,AG
,0.202020202,10,-1.083873904,AG
,0.202020202,11,0.936367535,AG
,0.202020202,12,0.086182272,AG
,0.202020202,13,-1.07398558,AG
,0.202020202,14,1.429384042,AG
,0.202020202,15,0.54515014,AG
,0.202020202,16,2.722766843,AG
,0.202020202,17,-0.470410808,AG
,0.202020202,18,0.915776056,AG
,0.202020202,19,1.39224608,AG
,0.202020202,0,1.820200448,V1
,0.202020202,1,0.257198224,V1
,0.202020202,2,1.946044813,V1
,0.202020202,3,3.507983588,V1
,0.202020202,4,2.486440903,V1
,0.202020202,5,-1.53404541,V1
,0.202020202,6,0.856974701,V1
,0.202020202,7,-1.048672076,V1
,0.202020202,8,2.484771691,V1
,0.202020202,9,-0.67360625,V1
,0.202020202,10,-0.340823171,V1
,0.202020202,11,2.908159824,V1
,0.202020202,12,2.99246927,V1
,0.202020202,13,-0.324953482,V1
,0.202020202,14,2.360439077,V1
,0.202020202,15,0.699199622,V1
,0.202020202,16,1.458004617,V1
,0.202020202,17,1.993809893,V1
,0.202020202,18,1.201363387,V1
,0.202020202,19,0.582376294,V1
,0.303030303,0,0.174325336,IPS
,0.303030303,1,-0.753475812,IPS
,0.303030303,2,-0.12441244,IPS
,0.303030303,3,0.47570098,IPS
,0.303030303,4,-1.234099996,IPS
,0.303030303,5,-0.412817115,IPS
,0.303030303,6,3.203626709,IPS
,0.303030303,7,-0.258938691,IPS
,0.303030303,8,1.207974928,IPS
,0.303030303,9,2.488045234,IPS
,0.303030303,10,2.272250593,IPS
,0.303030303,11,-0.652239901,IPS
,0.303030303,12,3.434313189,IPS
,0.303030303,13,4.490806974,IPS
,0.303030303,14,2.55223181,IPS
,0.303030303,15,-1.075805368,IPS
,0.303030303,16,2.977878373,IPS
,0.303030303,17,3.432317764,IPS
,0.303030303,18,0.969000949,IPS
,0.303030303,19,-1.244279404,IPS
,0.303030303,0,1.050964013,AG
,0.303030303,1,0.982751057,AG
,0.303030303,2,2.819838766,AG
,0.303030303,3,0.739707835,AG
,0.303030303,4,2.205689445,AG
,0.303030303,5,0.414726338,AG
,0.303030303,6,1.901853676,AG
,0.303030303,7,0.908079744,AG
,0.303030303,8,-0.352434555,AG
,0.303030303,9,-1.693163724,AG
,0.303030303,10,-1.08184602,AG
,0.303030303,11,0.93839542,AG
,0.303030303,12,0.088210156,AG
,0.303030303,13,-1.071957696,AG
,0.303030303,14,1.431411926,AG
,0.303030303,15,0.547178024,AG
,0.303030303,16,2.724794728,AG
,0.303030303,17,-0.468382924,AG
,0.303030303,18,0.91780394,AG
,0.303030303,19,1.394273964,AG
,0.303030303,0,1.820193277,V1
,0.303030303,1,0.257191053,V1
,0.303030303,2,1.946037642,V1
,0.303030303,3,3.507976416,V1
,0.303030303,4,2.486433731,V1
,0.303030303,5,-1.534052581,V1
,0.303030303,6,0.85696753,V1
,0.303030303,7,-1.048679248,V1
,0.303030303,8,2.48476452,V1
,0.303030303,9,-0.673613422,V1
,0.303030303,10,-0.340830342,V1
,0.303030303,11,2.908152652,V1
,0.303030303,12,2.992462099,V1
,0.303030303,13,-0.324960654,V1
,0.303030303,14,2.360431906,V1
,0.303030303,15,0.699192451,V1
,0.303030303,16,1.457997445,V1
,0.303030303,17,1.993802722,V1
,0.303030303,18,1.201356215,V1
,0.303030303,19,0.582369122,V1
,0.404040404,0,-0.03150488,IPS
,0.404040404,1,-0.959306029,IPS
,0.404040404,2,-0.330242656,IPS
,0.404040404,3,0.269870763,IPS
,0.404040404,4,-1.439930213,IPS
,0.404040404,5,-0.618647332,IPS
,0.404040404,6,2.997796493,IPS
,0.404040404,7,-0.464768907,IPS
,0.404040404,8,1.002144712,IPS
,0.404040404,9,2.282215017,IPS
,0.404040404,10,2.066420376,IPS
,0.404040404,11,-0.858070118,IPS
,0.404040404,12,3.228482973,IPS
,0.404040404,13,4.284976757,IPS
,0.404040404,14,2.346401593,IPS
,0.404040404,15,-1.281635585,IPS
,0.404040404,16,2.772048157,IPS
,0.404040404,17,3.226487548,IPS
,0.404040404,18,0.763170733,IPS
,0.404040404,19,-1.450109621,IPS
,0.404040404,0,1.055782431,AG
,0.404040404,1,0.987569475,AG
,0.404040404,2,2.824657184,AG
,0.404040404,3,0.744526253,AG
,0.404040404,4,2.210507863,AG
,0.404040404,5,0.419544756,AG
,0.404040404,6,1.906672094,AG
,0.404040404,7,0.912898162,AG
,0.404040404,8,-0.347616137,AG
,0.404040404,9,-1.688345306,AG
,0.404040404,10,-1.077027602,AG
,0.404040404,11,0.943213838,AG
,0.404040404,12,0.093028574,AG
,0.404040404,13,-1.067139277,AG
,0.404040404,14,1.436230344,AG
,0.404040404,15,0.551996443,AG
,0.404040404,16,2.729613146,AG
,0.404040404,17,-0.463564506,AG
,0.404040404,18,0.922622358,AG
,0.404040404,19,1.399092382,AG
,0.404040404,0,1.820160879,V1
,0.404040404,1,0.257158655,V1
,0.404040404,2,1.946005244,V1
,0.404040404,3,3.507944019,V1
,0.404040404,4,2.486401333,V1
,0.404040404,5,-1.534084979,V1
,0.404040404,6,0.856935132,V1
,0.404040404,7,-1.048711645,V1
,0.404040404,8,2.484732122,V1
,0.404040404,9,-0.67364582,V1
,0.404040404,10,-0.34086274,V1
,0.404040404,11,2.908120254,V1
,0.404040404,12,2.992429701,V1
,0.404040404,13,-0.324993052,V1
,0.404040404,14,2.360399508,V1
,0.404040404,15,0.699160053,V1
,0.404040404,16,1.457965047,V1
,0.404040404,17,1.993770324,V1
,0.404040404,18,1.201323818,V1
,0.404040404,19,0.582336725,V1
,0.505050505,0,-0.256227004,IPS
,0.505050505,1,-1.184028152,IPS
,0.505050505,2,-0.55496478,IPS
,0.505050505,3,0.04514864,IPS
,0.505050505,4,-1.664652336,IPS
,0.505050505,5,-0.843369455,IPS
,0.505050505,6,2.773074369,IPS
,0.505050505,7,-0.689491031,IPS
,0.505050505,8,0.777422588,IPS
,0.505050505,9,2.057492894,IPS
,0.505050505,10,1.841698253,IPS
,0.505050505,11,-1.082792241,IPS
,0.505050505,12,3.003760849,IPS
,0.505050505,13,4.060254634,IPS
,0.505050505,14,2.12167947,IPS
,0.505050505,15,-1.506357708,IPS
,0.505050505,16,2.547326033,IPS
,0.505050505,17,3.001765424,IPS
,0.505050505,18,0.538448609,IPS
,0.505050505,19,-1.674831744,IPS
,0.505050505,0,1.064729218,AG
,0.505050505,1,0.996516262,AG
,0.505050505,2,2.83360397,AG
,0.505050505,3,0.75347304,AG
,0.505050505,4,2.21945465,AG
,0.505050505,5,0.428491542,AG
,0.505050505,6,1.915618881,AG
,0.505050505,7,0.921844949,AG
,0.505050505,8,-0.33866935,AG
,0.505050505,9,-1.679398519,AG
,0.505050505,10,-1.068080815,AG
,0.505050505,11,0.952160624,AG
,0.505050505,12,0.101975361,AG
,0.505050505,13,-1.058192491,AG
,0.505050505,14,1.445177131,AG
,0.505050505,15,0.560943229,AG
,0.505050505,16,2.738559932,AG
,0.505050505,17,-0.454617719,AG
,0.505050505,18,0.931569145,AG
,0.505050505,19,1.408039169,AG
,0.505050505,0,1.820062117,V1
,0.505050505,1,0.257059893,V1
,0.505050505,2,1.945906482,V1
,0.505050505,3,3.507845257,V1
,0.505050505,4,2.486302571,V1
,0.505050505,5,-1.534183741,V1
,0.505050505,6,0.85683637,V1
,0.505050505,7,-1.048810407,V1
,0.505050505,8,2.48463336,V1
,0.505050505,9,-0.673744582,V1
,0.505050505,10,-0.340961502,V1
,0.505050505,11,2.908021492,V1
,0.505050505,12,2.992330939,V1
,0.505050505,13,-0.325091814,V1
,0.505050505,14,2.360300746,V1
,0.505050505,15,0.699061291,V1
,0.505050505,16,1.457866285,V1
,0.505050505,17,1.993671562,V1
,0.505050505,18,1.201225056,V1
,0.505050505,19,0.582237963,V1
,0.606060606,0,-0.488395297,IPS
,0.606060606,1,-1.416196446,IPS
,0.606060606,2,-0.787133073,IPS
,0.606060606,3,-0.187019654,IPS
,0.606060606,4,-1.89682063,IPS
,0.606060606,5,-1.075537749,IPS
,0.606060606,6,2.540906075,IPS
,0.606060606,7,-0.921659324,IPS
,0.606060606,8,0.545254294,IPS
,0.606060606,9,1.8253246,IPS
,0.606060606,10,1.609529959,IPS
,0.606060606,11,-1.314960535,IPS
,0.606060606,12,2.771592556,IPS
,0.606060606,13,3.82808634,IPS
,0.606060606,14,1.889511176,IPS
,0.606060606,15,-1.738526002,IPS
,0.606060606,16,2.315157739,IPS
,0.606060606,17,2.76959713,IPS
,0.606060606,18,0.306280315,IPS
,0.606060606,19,-1.907000038,IPS
,0.606060606,0,1.079034153,AG
,0.606060606,1,1.010821196,AG
,0.606060606,2,2.847908905,AG
,0.606060606,3,0.767777975,AG
,0.606060606,4,2.233759584,AG
,0.606060606,5,0.442796477,AG
,0.606060606,6,1.929923815,AG
,0.606060606,7,0.936149884,AG
,0.606060606,8,-0.324364416,AG
,0.606060606,9,-1.665093584,AG
,0.606060606,10,-1.05377588,AG
,0.606060606,11,0.966465559,AG
,0.606060606,12,0.116280295,AG
,0.606060606,13,-1.043887556,AG
,0.606060606,14,1.459482065,AG
,0.606060606,15,0.575248164,AG
,0.606060606,16,2.752864867,AG
,0.606060606,17,-0.440312785,AG
,0.606060606,18,0.94587408,AG
,0.606060606,19,1.422344104,AG
,0.606060606,0,1.819825767,V1
,0.606060606,1,0.256823543,V1
,0.606060606,2,1.945670132,V1
,0.606060606,3,3.507608907,V1
,0.606060606,4,2.486066222,V1
,0.606060606,5,-1.534420091,V1
,0.606060606,6,0.85660002,V1
,0.606060606,7,-1.049046757,V1
,0.606060606,8,2.48439701,V1
,0.606060606,9,-0.673980931,V1
,0.606060606,10,-0.341197852,V1
,0.606060606,11,2.907785142,V1
,0.606060606,12,2.992094589,V1
,0.606060606,13,-0.325328164,V1
,0.606060606,14,2.360064396,V1
,0.606060606,15,0.698824941,V1
,0.606060606,16,1.457629935,V1
,0.606060606,17,1.993435212,V1
,0.606060606,18,1.200988706,V1
,0.606060606,19,0.582001613,V1
