align,time,coherence,firing_rate,choice
dots,-80,0,33.1899674,T1
dots,-80,3.2,31.69172552,T1
dots,-80,6.4,34.27983996,T1
dots,-80,12.8,32.6318743,T1
dots,-80,25.6,35.06048746,T1
dots,-80,51.2,34.98757102,T1
dots,-60,0,32.8685259,T1
dots,-60,3.2,35.11904762,T1
dots,-60,6.4,34.84107579,T1
dots,-60,12.8,35.64814815,T1
dots,-60,25.6,33.61056751,T1
dots,-60,51.2,34.27734375,T1
dots,-40,0,34.56175299,T1
dots,-40,3.2,34.89583333,T1
dots,-40,6.4,34.96332518,T1
dots,-40,12.8,36.47119342,T1
dots,-40,25.6,32.53424658,T1
dots,-40,51.2,35.00976563,T1
dots,-20,0,35.35856574,T1
dots,-20,3.2,31.10119048,T1
dots,-20,6.4,35.51344743,T1
dots,-20,12.8,34.51646091,T1
dots,-20,25.6,34.78473581,T1
dots,-20,51.2,36.66992188,T1
dots,0,0,36.25498008,T1
dots,0,3.2,32.36607143,T1
dots,0,6.4,36.9193154,T1
dots,0,12.8,35.69958848,T1
dots,0,25.6,35.86105675,T1
dots,0,51.2,37.06054688,T1
dots,20,0,38.49601594,T1
dots,20,3.2,33.48214286,T1
dots,20,6.4,36.18581907,T1
dots,20,12.8,36.00823045,T1
dots,20,25.6,34.88258317,T1
dots,20,51.2,35.88867188,T1
dots,40,0,36.20517928,T1
dots,40,3.2,34.375,T1
dots,40,6.4,36.79706601,T1
dots,40,12.8,35.3909465,T1
dots,40,25.6,36.98630137,T1
dots,40,51.2,36.27929688,T1
dots,60,0,34.76095618,T1
dots,60,3.2,34.67261905,T1
dots,60,6.4,38.20293399,T1
dots,60,12.8,35.64814815,T1
dots,60,25.6,38.01369863,T1
dots,60,51.2,37.79296875,T1
dots,80,0,36.55378486,T1
dots,80,3.2,32.36607143,T1
dots,80,6.4,35.57457213,T1
dots,80,12.8,33.74485597,T1
dots,80,25.6,35.56751468,T1
dots,80,51.2,37.35351563,T1
dots,100,0,33.51593626,T1
dots,100,3.2,31.54761905,T1
dots,100,6.4,33.00733496,T1
dots,100,12.8,32.26660328,T1
dots,100,25.6,32.28962818,T1
dots,100,51.2,35.25390625,T1
dots,120,0,31.67330677,T1
dots,120,3.2,30.87797619,T1
dots,120,6.4,31.96821516,T1
dots,120,12.8,32.79864052,T1
dots,120,25.6,29.69667319,T1
dots,120,51.2,33.34960938,T1
dots,140,0,32.12151394,T1
dots,140,3.2,30.09707585,T1
dots,140,6.4,31.17359413,T1
dots,140,12.8,31.19277604,T1
dots,140,25.6,29.30528376,T1
dots,140,51.2,31.3593367,T1
dots,160,0,34.46215139,T1
dots,160,3.2,33.01911836,T1
dots,160,6.4,33.6797066,T1
dots,160,12.8,31.99229382,T1
dots,160,25.6,33.06841308,T1
dots,160,51.2,31.41440491,T1
dots,180,0,37.58577605,T1
dots,180,3.2,39.2062263,T1
dots,180,6.4,38.47992981,T1
dots,180,12.8,38.27907253,T1
dots,180,25.6,38.02835727,T1
dots,180,51.2,35.29819696,T1
dots,200,0,41.38763088,T1
dots,200,3.2,43.00090457,T1
dots,200,6.4,42.83157751,T1
dots,200,12.8,44.18816696,T1
dots,200,25.6,43.20531303,T1
dots,200,51.2,44.00212761,T1
dots,220,0,45.21457418,T1
dots,220,3.2,44.05315722,T1
dots,220,6.4,44.55030676,T1
dots,220,12.8,46.00721532,T1
dots,220,25.6,46.66561786,T1
dots,220,51.2,49.44555901,T1
dots,240,0,44.42666719,T1
dots,240,3.2,45.55799764,T1
dots,240,6.4,45.33531505,T1
dots,240,12.8,45.25451146,T1
dots,240,25.6,48.05799807,T1
dots,240,51.2,52.813855,T1
dots,260,0,43.51767614,T1
dots,260,3.2,46.48067236,T1
dots,260,6.4,45.97567883,T1
dots,260,12.8,45.97801187,T1
dots,260,25.6,51.49830443,T1
dots,260,51.2,56.00626348,T1
dots,280,0,45.18384503,T1
dots,280,3.2,46.76805438,T1
dots,280,6.4,47.60794659,T1
dots,280,12.8,49.41794849,T1
dots,280,25.6,53.40635077,T1
dots,280,51.2,56.57092707,T1
dots,300,0,44.5806311,T1
dots,300,3.2,47.74033113,T1
dots,300,6.4,47.94531456,T1
dots,300,12.8,50.88490111,T1
dots,300,25.6,53.99217701,T1
dots,320,0,42.18834996,T1
dots,320,3.2,46.10917737,T1
dots,320,6.4,46.92977221,T1
dots,320,12.8,50.54757117,T1
dots,320,25.6,54.27060997,T1
dots,340,0,41.78818321,T1
dots,340,3.2,45.63335958,T1
dots,340,6.4,47.67419784,T1
dots,340,12.8,49.84533306,T1
dots,340,25.6,55.48330481,T1
dots,360,0,43.88893986,T1
dots,360,3.2,47.88117902,T1
dots,360,6.4,50.43079584,T1
dots,360,12.8,50.56374539,T1
dots,360,25.6,57.61320028,T1
dots,380,0,46.79398657,T1
dots,380,3.2,46.03629556,T1
